names,Dice,IoU,Prec,Rec
1.mat,0.8315035799522673,0.7116013071895425,0.9141957491472055,0.7625300941124973
2.mat,0.8063728813559322,0.6755651482449165,0.9717320261437908,0.6891077636152955
3.mat,0.931423132795672,0.8716482280142509,0.983601354210749,0.8845019503377414
4.mat,0.9068307989379677,0.8295429454625746,0.9790228013029316,0.8445543441609531
5.mat,0.34826016737630305,0.21084444444444445,1.0,0.21084444444444445
6.mat,0.45495340006903695,0.29445933869526364,0.9178272980501393,0.3024323083983479
7.mat,0.7315904139433551,0.576777739608382,0.752914798206278,0.7114406779661017
8.mat,0.7642885297595585,0.6185007974481659,0.6854012018381054,0.8636971046770602
9.mat,0.1707583196944899,0.09334923948702654,1.0,0.09334923948702654
10.mat,0.867918766223851,0.7666576746695442,1.0,0.7666576746695442
11.mat,0.9611102146199774,0.9251320285803044,0.9494659652478877,0.9730436203234766
12.mat,0.9704477997160924,0.9425921283529707,0.9543147208121827,0.9871357311630349
13.mat,0.9444117069338047,0.8946780796427243,0.9916128145194555,0.9015
14.mat,0.9578585086042065,0.9191252018200499,0.9867633154743145,0.9305989002823599
15.mat,0.9077529566360053,0.8310875842155919,0.9691358024691358,0.8536826495304004
16.mat,0.7210440456769984,0.5637755102040817,0.574025974025974,0.9692982456140351
17.mat,0.6860346585117227,0.5221101629169899,0.9774872912127814,0.5284648606203377
18.mat,0.8770207852193995,0.7809768637532134,0.9947609692206941,0.7842023748064016
19.mat,0.695322376738306,0.5329457364341085,0.9981851179673321,0.533462657613967
20.mat,0.8149635952799398,0.6877118644067797,0.9966226588885477,0.6893183266086218
21.mat,0.942973339358337,0.8920998632010944,0.9912597377921337,0.8991726990692864
22.mat,0.9410714285714286,0.8887015177065767,0.9710217755443886,0.9129133858267716
23.mat,0.9410230692076229,0.88861526804319,0.9995738333688472,0.8889520560924767
24.mat,0.497534516765286,0.33114538890712175,0.9815175097276264,0.33322324966974903
25.mat,0.2843458532896395,0.16573611519247722,0.9947089947089947,0.16588235294117648
26.mat,0.7083536883243772,0.5484114977307111,0.5484114977307111,1.0
27.mat,0.8448275862068966,0.7313432835820896,0.9942028985507246,0.734475374732334
28.mat,0.8897580053776583,0.8014090708938794,0.9219858156028369,0.8597071327350023
29.mat,0.9396768934341189,0.8862175006989097,0.9856965174129353,0.897762673463608
30.mat,0.9348034515819751,0.8775877587758776,0.9769539078156313,0.8961397058823529
31.mat,0.9070613928658092,0.8299289520426287,0.9868004223864836,0.8392456219128873
32.mat,0.763000852514919,0.616815988973122,0.9905921416712784,0.6204506065857885
33.mat,0.7815656565656566,0.6414507772020726,0.7203258339798293,0.8541858325666973
34.mat,0.0,0.0,0.0,0.0
35.mat,0.898828541001065,0.816247582205029,0.8791666666666667,0.9193899782135077
36.mat,0.9208903191204076,0.8533797216699801,0.9988365328679465,0.8542288557213931
37.mat,0.9362992922143579,0.8802281368821293,0.9867860187553282,0.8907272027702963
38.mat,0.9410807291666666,0.8887181063633569,0.9856801909307876,0.9003425724073497
39.mat,0.9583455558814902,0.9200225288651084,0.9486062717770035,0.9682868998221695
40.mat,0.9598502892140184,0.9228001308472359,0.9523970290344362,0.9674211248285323
41.mat,0.934185303514377,0.8764988009592326,0.9648042234931808,0.9054500412881916
42.mat,0.855515420950264,0.7475115319252246,0.9479679802955665,0.7794936708860759
43.mat,0.9277525993068515,0.8652411735454998,0.9265175718849841,0.9289909236518954
44.mat,0.9072803717636645,0.8302956662616444,0.9127337488869101,0.9018917729872415
45.mat,0.9153663325410768,0.8439405487804879,0.9824755989352263,0.856838846972335
46.mat,0.9486237033406845,0.9022684897451834,0.9549416214438414,0.9423888347938981
47.mat,0.0,0.0,0.0,0.0
48.mat,0.7358471989760756,0.5820872274143302,0.600997105178514,0.9487179487179487
49.mat,0.8297420333839151,0.7090248962655602,0.9473319473319474,0.7381209503239741
50.mat,0.7566426620312888,0.6085480327541442,0.9941272430668842,0.6107436359991982
51.mat,0.0,0.0,0.0,0.0
52.mat,0.8047664645175019,0.6733131564892292,0.9864371413667188,0.6796046720575023
53.mat,0.0,0.0,0.0,0.0
54.mat,0.0,0.0,0.0,0.0
55.mat,0.0,0.0,0.0,0.0
56.mat,0.9119617224880383,0.8381706244503079,0.9110898661567878,0.9128352490421456
57.mat,0.0,0.0,0.0,0.0
58.mat,0.7524071526822559,0.6030871003307607,0.9733096085409253,0.6132286995515696
59.mat,0.8350931677018634,0.7168754998667022,0.7630533484676504,0.9221536351165981
60.mat,0.8224670951943679,0.6984663374057707,1.0,0.6984663374057707
61.mat,0.19431189158236303,0.10761099365750529,1.0,0.10761099365750529
62.mat,0.908328340323547,0.8320526893523601,0.9740426625546132,0.8509205208801077
63.mat,0.9545741894698817,0.9130960608154803,0.9628347604299509,0.9464541547277937
64.mat,0.9235506290138119,0.8579601176855182,0.9498733260948244,0.8986474918678309
65.mat,0.940929808568824,0.8884489585126528,0.9770920106020446,0.9073488045007032
66.mat,0.51856039193518,0.35003815822945816,0.9457044673539519,0.3572170301142264
67.mat,0.0,0.0,0.0,0.0
68.mat,0.5453131077401789,0.3748663101604278,1.0,0.3748663101604278
69.mat,0.0,0.0,0.0,0.0
70.mat,0.5893464299206649,0.4177825388323514,0.6275140788415124,0.5555555555555556
71.mat,0.8701223063482819,0.7701030927835052,0.8155021834061136,0.9325842696629213
72.mat,0.0,0.0,0.0,0.0
73.mat,0.8963401271093578,0.812152501985703,0.9946498054474708,0.8157159952134024
74.mat,0.9615127494986152,0.9258782416773956,0.9743540114197232,0.9490055613158639
75.mat,0.9610436025732666,0.9250085999312005,0.9855231812351108,0.9377506538796861
76.mat,0.9559471365638766,0.9156118143459916,0.9781628768907142,0.9347181008902077
77.mat,0.922576760987357,0.8562807331247206,0.9269295910960561,0.9182646212847555
78.mat,0.7541096479903606,0.6052777010223819,0.9534276387377585,0.6237186788154897
79.mat,0.9294066695539195,0.8681229773462783,0.9470432480141218,0.9124149659863946
80.mat,0.6149142788634456,0.4439539513546265,0.992453560371517,0.44545770366510334
81.mat,0.7117691559494218,0.5525167785234899,0.9806432400238237,0.5586089906700594
82.mat,0.8954253611556983,0.8106517474387851,0.9738151348520555,0.8287157394340043
83.mat,0.9150597609561752,0.8434195064629847,0.9890620962880028,0.8513603677070205
84.mat,0.6114243407938948,0.44032482979246984,0.9632155033195765,0.4478558318037711
85.mat,0.041255021170339815,0.021061966522558474,1.0,0.021061966522558474
86.mat,0.02045512656609563,0.01033324722293981,0.019111323459149548,0.022002200220022004
87.mat,0.9116886038924513,0.837709323961133,1.0,0.837709323961133
88.mat,0.9271960994959094,0.8642736096133108,0.9939759036144579,0.868824531516184
89.mat,0.9134283570892723,0.8406517536592102,0.9141141141141141,0.912743628185907
90.mat,0.8761183757742601,0.7795468462951622,0.9893782383419689,0.786125977768629
91.mat,0.7327586206896551,0.5782312925170068,0.952914798206278,0.5952380952380952
92.mat,0.6826347305389222,0.5181818181818182,1.0,0.5181818181818182
93.mat,0.0,0.0,0.0,0.0
94.mat,0.8792526000352547,0.7845234350424661,0.9592307692307692,0.8115847705824927
95.mat,0.6875776397515528,0.5238996687174633,0.543179587831207,0.9365482233502538
96.mat,0.818924438393465,0.693371757925072,1.0,0.693371757925072
97.mat,0.9129219522683294,0.8397943037974683,0.9511648745519713,0.8776353865233567
98.mat,0.8865522966242391,0.7962226640159046,0.9656419529837251,0.8194373401534527
99.mat,0.9008629762155336,0.819609345078514,0.9102509570395576,0.8916666666666667
100.mat,0.5983122362869199,0.42685129440096325,0.45575316048853654,0.8706508391322145
101.mat,0.0,0.0,0.0,0.0
102.mat,0.9016127286502869,0.8208513992905005,0.9284440481497994,0.8762886597938144
103.mat,0.9150761687970583,0.8434473854099419,0.9379038047379756,0.8933333333333333
104.mat,0.7892283790781979,0.6518391787852865,0.9995627459554001,0.6520250998288648
105.mat,0.8711737502752698,0.7717518532969176,0.9957211175434181,0.7743198277549422
106.mat,0.707253653725455,0.5470939103897905,0.9987338566725753,0.5474736257634647
107.mat,0.7893576363369101,0.6520155415250122,0.9972144846796658,0.6532052061792969
108.mat,0.7626666666666667,0.6163793103448276,1.0,0.6163793103448276
109.mat,0.8220442769665568,0.6978566858605246,0.9970292504570384,0.6993107869850937
110.mat,0.0,0.0,0.0,0.0
111.mat,0.0,0.0,0.0,0.0
112.mat,0.0,0.0,0.0,0.0
113.mat,0.9090277777777778,0.8332272437937619,0.9924184988627748,0.8385650224215246
114.mat,0.5043327556325823,0.33719582850521435,1.0,0.33719582850521435
115.mat,0.8966244725738397,0.8126195028680688,1.0,0.8126195028680688
116.mat,0.8012183816713018,0.668360583296509,0.9960487323016134,0.6701373504652193
117.mat,0.4878646020885848,0.32263288245380073,0.9666095890410958,0.3262691455543782
118.mat,0.8719522591645353,0.7729746070133011,1.0,0.7729746070133011
119.mat,0.7557677008750995,0.6074168797953964,0.6201044386422977,0.9674134419551935
120.mat,0.0,0.0,0.0,0.0
121.mat,0.9633302151543499,0.9292546471756,0.9777819977212305,0.9492994100294986
122.mat,0.9655722981738349,0.9334362338414046,0.9701223180268699,0.9610647596344855
123.mat,0.8970588235294118,0.8133333333333334,0.9992380952380953,0.8138380390940118
124.mat,0.9021616893664876,0.8217618939221488,0.985800109229929,0.8316056208246948
125.mat,0.0,0.0,0.0,0.0
126.mat,0.0,0.0,0.0,0.0
127.mat,0.0,0.0,0.0,0.0
128.mat,0.0,0.0,0.0,0.0
129.mat,0.0,0.0,0.0,0.0
130.mat,0.0,0.0,0.0,0.0
131.mat,0.8611670020120724,0.7561837455830389,0.9861751152073732,0.7642857142857142
132.mat,0.9006013441811107,0.8191763191763192,0.9668354430379746,0.8428602957404546
133.mat,0.3081282624906786,0.18212270803949224,1.0,0.18212270803949224
134.mat,0.5593869731800766,0.3882978723404255,0.9898305084745763,0.38985313751668893
135.mat,0.8670661340434975,0.7653281096963761,0.9169209105843699,0.8223531888023574
136.mat,0.0,0.0,0.0,0.0
137.mat,0.0,0.0,0.0,0.0
138.mat,0.0,0.0,0.0,0.0
139.mat,0.9548527808069793,0.9136060100166945,0.9538126361655773,0.9558951965065502
140.mat,0.9203202439954251,0.8524011299435028,0.9873210633946831,0.861835058907533
141.mat,0.3437596143985232,0.20755417956656347,0.22660897782585182,0.7116772823779193
142.mat,0.0,0.0,0.0,0.0
143.mat,0.0024142926122646064,0.001208605269518975,0.00211864406779661,0.0028058361391694723
144.mat,0.7199511897498475,0.5624404194470924,1.0,0.5624404194470924
145.mat,0.9298188724695419,0.868842524456757,0.9475970163346238,0.9126955256456893
146.mat,0.9559437765590383,0.915605649481667,0.9913370998116761,0.9229906017674289
147.mat,0.0,0.0,0.0,0.0
148.mat,0.9243502475247525,0.8593412915288364,0.989648033126294,0.8671359117625717
149.mat,0.768689026150205,0.6242850445382091,0.998500299940012,0.6248709526044111
150.mat,0.0,0.0,0.0,0.0
151.mat,0.909736497850869,0.8344189235515941,0.9545098039215686,0.8689753659407354
152.mat,0.9456018518518519,0.8968166849615807,0.991504854368932,0.9037610619469026
